TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:20:20.0352750,526,7
2023-11-16 18:20:20.2360410,152,15
2023-11-16 18:20:20.2397320,4566,20
2023-11-16 18:20:20.3375920,7419,6
2023-11-16 18:20:20.3414030,46,25
2023-11-16 18:20:20.3424050,2862,13
2023-11-16 18:20:20.4341320,1724,32
2023-11-16 18:20:20.5371400,1724,16
2023-11-16 18:20:20.5415780,155,30
2023-11-16 18:20:20.6345510,81,15
2023-11-16 18:20:20.6386260,1650,13
2023-11-16 18:20:20.6393730,1364,9
2023-11-16 18:20:20.6395870,1908,22
2023-11-16 18:20:20.6415580,123,15
2023-11-16 18:20:20.6424350,81,7
2023-11-16 18:20:20.7342920,1724,15
2023-11-16 18:20:20.7403850,247,84
2023-11-16 18:20:20.7456870,3854,10
2023-11-16 18:20:20.7468860,83,6
2023-11-16 18:20:20.8422650,156,21
2023-11-16 18:20:20.8423140,247,71
2023-11-16 18:20:20.9373330,3066,12
2023-11-16 18:20:20.9374320,3517,11
2023-11-16 18:20:20.9388960,2081,6
2023-11-16 18:20:20.9415900,143,12
2023-11-16 18:20:21.0401640,2649,20
2023-11-16 18:20:21.1376250,2655,9
2023-11-16 18:20:21.2373480,1724,18
2023-11-16 18:20:21.2423190,2128,13
2023-11-16 18:20:21.3373910,3067,9
2023-11-16 18:20:21.3413760,2926,12
2023-11-16 18:20:21.4402570,1900,46
2023-11-16 18:20:21.4405380,2047,106
2023-11-16 18:20:21.4416290,5923,55
2023-11-16 18:20:21.5407740,2971,9
2023-11-16 18:20:21.5415830,2156,13
2023-11-16 18:20:21.6402940,573,6
2023-11-16 18:20:21.6418020,14,10
2023-11-16 18:20:21.6429120,232,6
2023-11-16 18:20:21.6467260,3284,7
2023-11-16 18:20:21.7377540,1364,9
2023-11-16 18:20:21.7392760,161,16
2023-11-16 18:20:21.7424040,316,23
2023-11-16 18:20:21.9360190,2084,16
2023-11-16 18:20:21.9385290,2068,11
2023-11-16 18:20:21.9427190,1180,39
2023-11-16 18:20:22.2366980,2654,17
2023-11-16 18:20:22.2411950,146,16
2023-11-16 18:20:22.3405700,318,11
2023-11-16 18:20:22.3424730,3288,10
2023-11-16 18:20:22.4384950,252,17
2023-11-16 18:20:22.4396750,35,14
2023-11-16 18:20:22.5369020,337,13
2023-11-16 18:20:22.5369650,109,6
2023-11-16 18:20:22.5395740,148,43
2023-11-16 18:20:22.5407910,985,27
2023-11-16 18:20:22.5430490,2136,8
2023-11-16 18:20:22.5467450,2657,7
2023-11-16 18:20:22.7412950,3289,15
2023-11-16 18:20:22.7431090,2136,12
2023-11-16 18:20:22.8372270,135,6
2023-11-16 18:20:22.8406950,181,105
2023-11-16 18:20:22.9342340,3399,10
2023-11-16 18:20:22.9395910,1067,9
2023-11-16 18:20:22.9406090,5831,11
2023-11-16 18:20:22.9408010,153,15
2023-11-16 18:20:22.9438520,527,7
2023-11-16 18:20:22.9458770,1905,17
2023-11-16 18:20:22.9572360,1293,25
2023-11-16 18:20:23.0379180,1180,6
2023-11-16 18:20:23.0379800,61,21
2023-11-16 18:20:23.0533390,1278,9
2023-11-16 18:20:23.0695450,65,10
2023-11-16 18:20:23.1534320,217,9
2023-11-16 18:20:23.2364300,287,9
2023-11-16 18:20:23.2364860,3064,15
2023-11-16 18:20:23.2365670,116,10
2023-11-16 18:20:23.2391210,1638,9
2023-11-16 18:20:23.2392050,3396,7
2023-11-16 18:20:23.3534730,2077,15
2023-11-16 18:20:23.3535620,4629,6
2023-11-16 18:20:23.3536260,1084,6
2023-11-16 18:20:23.3547710,1259,8
2023-11-16 18:20:23.4573690,7332,26
2023-11-16 18:20:23.4607220,4081,29
2023-11-16 18:20:23.6557070,1137,58
2023-11-16 18:20:23.7393550,1430,12
2023-11-16 18:20:23.7543310,596,6
2023-11-16 18:20:23.8353090,174,18
2023-11-16 18:20:23.8416670,2969,25
2023-11-16 18:20:23.8439530,2157,7
2023-11-16 18:20:23.8554100,596,67
2023-11-16 18:20:23.9344390,175,18
2023-11-16 18:20:23.9404440,108,11
2023-11-16 18:20:23.9414660,161,11
2023-11-16 18:20:23.9414890,3399,19
2023-11-16 18:20:23.9559590,1278,9
2023-11-16 18:20:24.0532020,296,6
2023-11-16 18:20:24.0618310,4629,6
2023-11-16 18:20:24.0622830,842,7
2023-11-16 18:20:24.3549640,220,6
2023-11-16 18:20:24.3549700,4771,16
2023-11-16 18:20:24.5532170,1059,9
2023-11-16 18:20:24.5532780,1087,6
2023-11-16 18:20:24.6550940,14,9
2023-11-16 18:20:24.7557760,1326,6
2023-11-16 18:20:24.9556570,627,48
2023-11-16 18:20:24.9599320,4769,9
2023-11-16 18:20:25.1531500,1326,6
2023-11-16 18:20:25.6652700,1195,9
2023-11-16 18:20:25.7578600,40,16
2023-11-16 18:20:25.8551280,2187,13
2023-11-16 18:20:25.8551400,4083,41
2023-11-16 18:20:25.9862630,846,12
2023-11-16 18:20:26.0913150,1260,19
2023-11-16 18:20:26.1144730,1197,6
2023-11-16 18:20:26.2532180,7435,13
2023-11-16 18:20:26.2569670,6051,13
2023-11-16 18:20:26.7531470,1196,18
2023-11-16 18:20:27.1866110,847,32
2023-11-16 18:20:27.2154500,7436,11
2023-11-16 18:20:27.5532670,1257,9
2023-11-16 18:20:27.6570750,4770,39
2023-11-16 18:20:27.8988490,847,26
2023-11-16 18:20:28.3408280,848,8
2023-11-16 18:20:28.5539120,694,155
2023-11-16 18:20:28.7544440,7435,13
2023-11-16 18:20:28.7794790,847,8
2023-11-16 18:20:28.7873610,1748,15
2023-11-16 18:20:28.9828870,7335,11
2023-11-16 18:20:29.1554090,4803,13
2023-11-16 18:20:29.1564840,1200,6
2023-11-16 18:20:29.4531390,694,16
2023-11-16 18:20:29.4551450,1490,6
2023-11-16 18:20:29.4596010,6054,6
2023-11-16 18:20:29.5550270,847,13
2023-11-16 18:20:29.6571570,1201,12
2023-11-16 18:20:37.7251800,1141,22
2023-11-16 18:20:37.8210860,377,11
2023-11-16 18:20:37.9236540,7421,13
2023-11-16 18:20:38.0156990,389,12
2023-11-16 18:20:38.0206840,1144,10
2023-11-16 18:20:38.0214010,3640,14
2023-11-16 18:20:38.1232500,968,16
2023-11-16 18:20:38.1239660,3376,118
2023-11-16 18:20:38.2161830,2436,7
2023-11-16 18:20:38.7169060,481,11
2023-11-16 18:20:38.7194920,2165,10
2023-11-16 18:20:38.7216520,103,13
2023-11-16 18:20:38.7216640,3548,15
2023-11-16 18:20:38.9223370,483,9
2023-11-16 18:20:39.0200790,2113,145
2023-11-16 18:20:39.0211720,2436,14
2023-11-16 18:20:39.0248410,2437,13
2023-11-16 18:20:39.1197970,1292,70
2023-11-16 18:20:39.1209820,7429,9
2023-11-16 18:20:39.2209420,7408,12
2023-11-16 18:20:39.2219880,484,10
2023-11-16 18:20:39.2238770,2575,16
2023-11-16 18:20:39.2249370,2113,123
2023-11-16 18:20:39.3189320,1282,15
2023-11-16 18:20:39.3204730,2595,186
2023-11-16 18:20:39.4183020,1852,12
2023-11-16 18:20:39.4207580,878,17
2023-11-16 18:20:39.5176340,945,9
2023-11-16 18:20:39.5232290,7419,8
2023-11-16 18:20:39.5234270,1148,39
2023-11-16 18:20:39.5243800,55,6
2023-11-16 18:20:39.7230910,239,10
2023-11-16 18:20:39.8149120,55,8
2023-11-16 18:20:39.8206450,56,9
2023-11-16 18:20:40.6214690,486,16
2023-11-16 18:20:40.8181990,176,88
2023-11-16 18:20:40.8191540,881,12
2023-11-16 18:20:40.8194190,1156,17
2023-11-16 18:20:42.5230120,971,40
2023-11-16 18:20:42.5230910,1006,7
2023-11-16 18:20:43.5873090,2860,239
2023-11-16 18:20:43.5873840,5219,8
2023-11-16 18:20:43.6158500,1922,6
2023-11-16 18:20:43.6188860,3378,8
2023-11-16 18:20:43.6836610,2872,20
2023-11-16 18:20:43.7200790,1175,9
2023-11-16 18:20:43.7789430,6606,11
2023-11-16 18:20:43.7868070,2005,13
2023-11-16 18:20:43.8180370,882,11
2023-11-16 18:20:43.8211890,881,8
2023-11-16 18:20:43.8212990,1292,70
2023-11-16 18:20:43.8809680,387,10
2023-11-16 18:20:43.9843860,2172,14
2023-11-16 18:20:43.9883220,2001,6
2023-11-16 18:20:44.0821870,387,9
2023-11-16 18:20:44.0833050,5423,9
2023-11-16 18:20:44.0834470,35,17
2023-11-16 18:20:44.3161330,879,14
2023-11-16 18:20:44.4010440,917,11
2023-11-16 18:20:44.4793750,4028,218
2023-11-16 18:20:44.5152650,3379,7
2023-11-16 18:20:44.5207800,3945,26
2023-11-16 18:20:45.3835380,89,8
2023-11-16 18:20:45.3836590,1202,7
2023-11-16 18:20:45.3837660,6607,11
2023-11-16 18:20:45.4819430,1294,6
2023-11-16 18:20:45.4820170,6906,302
2023-11-16 18:20:45.4827220,917,11
2023-11-16 18:20:45.4894810,1096,16
2023-11-16 18:20:45.5833070,1291,22
2023-11-16 18:20:45.6774800,50,66
2023-11-16 18:20:45.7787290,1847,8
2023-11-16 18:20:45.7848810,736,21
2023-11-16 18:20:45.8779810,5431,12
2023-11-16 18:20:46.1637150,1575,28
2023-11-16 18:20:46.1647640,727,7
2023-11-16 18:20:46.2623690,45,16
2023-11-16 18:20:46.2624480,2353,12
2023-11-16 18:20:46.3615610,194,6
2023-11-16 18:20:46.3674210,5881,6
2023-11-16 18:20:46.3683750,3253,73
2023-11-16 18:20:46.4585690,194,6
2023-11-16 18:20:46.4615950,1233,153
2023-11-16 18:20:46.4633630,195,13
2023-11-16 18:20:46.4687390,195,14
2023-11-16 18:20:46.5203720,2596,13
2023-11-16 18:20:46.5235750,1258,16
2023-11-16 18:20:46.5590690,5697,19
2023-11-16 18:20:46.5593190,1031,9
2023-11-16 18:20:46.5649920,5699,7
2023-11-16 18:20:46.5650330,1648,10
2023-11-16 18:20:46.6220570,552,12
2023-11-16 18:20:46.6220990,1861,9
2023-11-16 18:20:46.6591210,4681,58
2023-11-16 18:20:46.6592290,5801,7
2023-11-16 18:20:46.6654490,729,17
2023-11-16 18:20:46.7151190,879,8
2023-11-16 18:20:46.7621080,5886,8
2023-11-16 18:20:46.7621200,3765,9
2023-11-16 18:20:46.7631390,3760,13
2023-11-16 18:20:46.7650540,53,42
2023-11-16 18:20:46.8223160,108,15
2023-11-16 18:20:47.5291320,134,6
2023-11-16 18:20:47.6169650,7436,10
2023-11-16 18:20:47.6180930,58,13
2023-11-16 18:20:47.9164680,63,8
2023-11-16 18:20:47.9195170,1863,15
2023-11-16 18:20:48.1659950,65,16
2023-11-16 18:20:48.2625060,2670,6
2023-11-16 18:20:48.2683240,5801,91
2023-11-16 18:20:48.3684590,5801,37
2023-11-16 18:20:48.3885130,52,18
2023-11-16 18:20:48.4801810,92,15
2023-11-16 18:20:48.5634250,1291,48
2023-11-16 18:20:48.5671320,1916,9
2023-11-16 18:20:48.5804280,4030,72
2023-11-16 18:20:48.5894370,2555,11
2023-11-16 18:20:48.6184860,130,13
2023-11-16 18:20:48.6228600,768,11
2023-11-16 18:20:48.6632490,1469,10
2023-11-16 18:20:48.6653900,1879,18
2023-11-16 18:20:48.6674040,2241,10
2023-11-16 18:20:48.6683400,2976,16
2023-11-16 18:20:48.6683470,201,121
2023-11-16 18:20:48.7196170,945,9
2023-11-16 18:20:48.7197680,111,23
2023-11-16 18:20:48.7856970,53,44
2023-11-16 18:20:48.8155360,2174,8
2023-11-16 18:20:48.8156140,2215,16
2023-11-16 18:20:48.8792360,6611,10
2023-11-16 18:20:48.8792600,1747,9
2023-11-16 18:20:48.8794870,6919,16
2023-11-16 18:20:48.9165190,6646,14
2023-11-16 18:20:48.9224370,2608,33
2023-11-16 18:20:49.0831020,2553,11
2023-11-16 18:20:49.0860090,5442,11
2023-11-16 18:20:49.1170880,110,12
2023-11-16 18:20:49.2218930,324,10
2023-11-16 18:20:49.2220450,883,10
2023-11-16 18:20:49.4144090,928,6
2023-11-16 18:20:49.5169520,1292,12
2023-11-16 18:20:49.5178130,2608,34
2023-11-16 18:20:49.5179580,2123,21
2023-11-16 18:20:49.8141620,2116,33
2023-11-16 18:20:49.9152570,2287,10
2023-11-16 18:20:49.9161600,882,11
2023-11-16 18:20:50.4803300,45,11
2023-11-16 18:20:50.5845360,738,21
2023-11-16 18:20:50.7892090,859,14
2023-11-16 18:20:50.8782740,5452,10
2023-11-16 18:20:50.8836710,6478,41
2023-11-16 18:20:50.9848900,266,52
2023-11-16 18:20:50.9860110,859,22
2023-11-16 18:20:50.9871640,4035,25
2023-11-16 18:20:51.0679460,4684,6
2023-11-16 18:20:51.0797970,94,14
2023-11-16 18:20:51.0852410,6918,49
2023-11-16 18:20:51.1827950,50,20
2023-11-16 18:20:51.1893010,6608,11
2023-11-16 18:20:51.2803690,46,21
2023-11-16 18:20:51.3868350,97,10
2023-11-16 18:20:51.5775190,46,13
2023-11-16 18:20:51.5784050,5461,13
2023-11-16 18:20:51.5784170,4991,9
2023-11-16 18:20:51.5834580,1969,100
2023-11-16 18:20:51.5842930,4821,23
2023-11-16 18:20:51.6648180,2979,11
2023-11-16 18:20:51.7597860,1034,12
2023-11-16 18:20:51.7667450,736,12
2023-11-16 18:20:51.8633120,5801,61
2023-11-16 18:20:51.8654370,2979,19
2023-11-16 18:20:51.8691960,2242,17
2023-11-16 18:20:52.1649110,163,53
2023-11-16 18:20:52.1661450,2679,222
2023-11-16 18:20:52.1691350,1469,10
2023-11-16 18:20:52.2586050,193,11
2023-11-16 18:20:52.2594180,313,26
2023-11-16 18:20:52.2636270,5803,6
2023-11-16 18:20:52.2637880,4685,6
2023-11-16 18:20:52.2691420,1038,9
2023-11-16 18:20:52.3597620,72,9
2023-11-16 18:20:52.4606270,1469,10
2023-11-16 18:20:52.4628370,4530,11
2023-11-16 18:20:52.4668090,1650,39
2023-11-16 18:20:53.5781330,46,9
2023-11-16 18:20:53.5822620,47,12
2023-11-16 18:20:53.6833370,94,13
2023-11-16 18:20:53.6834480,5473,7
2023-11-16 18:20:53.6835760,661,22
2023-11-16 18:20:53.9830040,5473,7
2023-11-16 18:20:53.9869230,3330,21
2023-11-16 18:20:53.9878710,661,12
2023-11-16 18:20:53.9879740,1980,9
2023-11-16 18:20:54.3849250,3286,37
2023-11-16 18:20:54.4795560,94,8
2023-11-16 18:20:54.5782030,3286,19
2023-11-16 18:20:54.5853380,863,16
2023-11-16 18:20:54.5889720,865,16
2023-11-16 18:20:54.6781120,3287,9
2023-11-16 18:20:54.6811530,5590,76
2023-11-16 18:20:54.6827950,1981,7
2023-11-16 18:20:54.7843300,97,8
2023-11-16 18:20:54.7871150,2124,13
2023-11-16 18:20:54.8800420,5479,13
2023-11-16 18:20:54.8831350,50,9
2023-11-16 18:20:55.4847770,3325,12
2023-11-16 18:20:55.5808200,429,9
2023-11-16 18:20:55.5809060,10,7
2023-11-16 18:20:55.5818290,863,15
2023-11-16 18:20:55.5844510,5503,9
2023-11-16 18:20:55.6825880,1338,11
2023-11-16 18:20:55.6835800,3324,6
2023-11-16 18:20:55.6837380,5491,13
2023-11-16 18:20:55.6862760,1397,9
2023-11-16 18:20:55.6871290,10,16
2023-11-16 18:20:55.6881190,2130,12
2023-11-16 18:20:55.7817330,4829,16
2023-11-16 18:20:55.7833240,98,12
2023-11-16 18:20:55.7841710,863,9
2023-11-16 18:20:55.9791540,1802,15
2023-11-16 18:20:55.9831150,3326,11
2023-11-16 18:20:55.9831720,5511,12
2023-11-16 18:20:55.9841320,100,6
2023-11-16 18:20:55.9850130,866,18
2023-11-16 18:20:56.0836570,103,10
2023-11-16 18:20:56.1812850,2130,8
2023-11-16 18:20:56.1823890,5480,22
2023-11-16 18:20:56.1863580,7435,21
2023-11-16 18:20:56.2828600,2130,10
2023-11-16 18:20:56.3777770,50,53
2023-11-16 18:20:56.3822900,14,89
2023-11-16 18:20:56.3824270,3287,70
2023-11-16 18:20:56.5846040,7436,25
2023-11-16 18:20:56.5848770,2956,116
2023-11-16 18:20:56.6774820,866,33
2023-11-16 18:20:56.7810470,866,14
2023-11-16 18:20:56.7850290,175,361
2023-11-16 18:20:56.7850960,6922,300
2023-11-16 18:20:56.8785010,60,19
2023-11-16 18:20:56.8810250,15,85
2023-11-16 18:20:56.8835010,5522,12
2023-11-16 18:20:56.8874490,876,33
2023-11-16 18:20:56.9784840,1397,9
2023-11-16 18:20:56.9795290,5213,16
2023-11-16 18:20:57.0646560,74,18
2023-11-16 18:20:57.0665710,1001,12
2023-11-16 18:20:57.0798550,5533,6
2023-11-16 18:20:57.0815440,15,188
2023-11-16 18:20:57.0863880,6490,7
2023-11-16 18:20:57.0885630,301,12
2023-11-16 18:20:57.0885700,876,59
2023-11-16 18:20:57.1639290,3898,6
2023-11-16 18:20:57.1639530,1125,14
2023-11-16 18:20:57.1649760,3251,27
2023-11-16 18:20:57.1659610,3738,65
2023-11-16 18:20:57.1802010,3330,9
2023-11-16 18:20:57.1825880,5214,9
2023-11-16 18:20:57.1837620,4057,12
2023-11-16 18:20:57.3637140,1264,9
2023-11-16 18:20:57.3638900,1027,27
2023-11-16 18:20:57.3799780,137,15
2023-11-16 18:20:57.3800580,4057,24
2023-11-16 18:20:57.3810500,15,10
2023-11-16 18:20:57.4630080,81,10
2023-11-16 18:20:57.4803190,4990,12
2023-11-16 18:20:57.6680870,1026,17
2023-11-16 18:20:57.6787210,17,88
2023-11-16 18:20:57.6838710,2653,7
2023-11-16 18:20:57.7833780,430,28
2023-11-16 18:20:57.8823970,2653,8
2023-11-16 18:20:57.9790960,497,16
2023-11-16 18:20:57.9831530,7434,12
2023-11-16 18:20:57.9883360,1421,25
2023-11-16 18:20:58.0633950,1264,9
2023-11-16 18:20:58.0785120,2654,7
2023-11-16 18:20:58.0836620,17,206
2023-11-16 18:20:58.1777450,15,248
2023-11-16 18:20:58.1834300,408,7
2023-11-16 18:20:58.2884860,17,43
2023-11-16 18:20:58.4585610,5806,43
2023-11-16 18:20:58.4595720,4685,6
2023-11-16 18:20:58.4639010,3315,28
2023-11-16 18:20:58.4639740,5803,87
2023-11-16 18:20:58.4869590,409,56
2023-11-16 18:20:58.4871690,143,9
2023-11-16 18:20:58.4894890,2284,11
2023-11-16 18:20:58.5605870,1469,10
2023-11-16 18:20:58.6613680,1059,10
2023-11-16 18:20:58.6654110,406,14
2023-11-16 18:20:58.6677320,75,19
2023-11-16 18:20:58.6870620,2963,79
2023-11-16 18:20:58.7650490,7433,12
2023-11-16 18:20:58.7650900,1496,23
2023-11-16 18:20:58.7668760,3320,27
2023-11-16 18:20:58.7682430,1471,8
2023-11-16 18:20:58.7774300,145,12
2023-11-16 18:20:58.9775520,18,55
2023-11-16 18:20:58.9801700,3268,14
2023-11-16 18:20:59.0592010,7436,14
2023-11-16 18:20:59.0604180,200,12
2023-11-16 18:20:59.0646140,1495,6
2023-11-16 18:20:59.0664650,1473,14
2023-11-16 18:20:59.0674800,196,6
2023-11-16 18:20:59.0795950,5538,13
2023-11-16 18:20:59.1587680,1880,13
2023-11-16 18:20:59.2599690,76,17
2023-11-16 18:20:59.2610310,4688,52
2023-11-16 18:20:59.2675560,1037,9
2023-11-16 18:20:59.2683420,1498,8
2023-11-16 18:20:59.2788520,997,638
2023-11-16 18:20:59.3784820,146,8
2023-11-16 18:20:59.4617720,6,12
2023-11-16 18:20:59.4628420,5806,51
2023-11-16 18:20:59.4629940,198,11
2023-11-16 18:20:59.5607860,3616,18
2023-11-16 18:20:59.5639700,1472,9
2023-11-16 18:20:59.5640900,1498,9
2023-11-16 18:20:59.5651370,80,9
2023-11-16 18:20:59.6614720,1053,9
2023-11-16 18:20:59.6666670,881,10
2023-11-16 18:20:59.6666790,1042,10
2023-11-16 18:20:59.7595920,4695,48
2023-11-16 18:20:59.7777640,52,17
2023-11-16 18:20:59.8621750,1497,9
2023-11-16 18:20:59.8644310,79,9
2023-11-16 18:20:59.8776750,504,10
2023-11-16 18:20:59.8787950,896,14
2023-11-16 18:20:59.9642500,202,6
2023-11-16 18:20:59.9782490,100,18
2023-11-16 18:20:59.9800190,145,12
2023-11-16 18:21:25.1277090,1164,18
2023-11-16 18:21:25.2433910,2546,11
2023-11-16 18:21:25.3481190,2132,71
2023-11-16 18:21:25.3489780,1205,12
2023-11-16 18:21:25.3502390,3738,10
2023-11-16 18:21:25.6159590,3634,7
2023-11-16 18:21:25.7149170,1542,8
2023-11-16 18:21:25.7150020,3296,24
2023-11-16 18:21:25.7173990,2616,18
2023-11-16 18:21:25.8147750,4662,10
2023-11-16 18:21:25.8148530,675,7
2023-11-16 18:21:25.8149020,101,12
2023-11-16 18:21:25.8186470,1456,13
2023-11-16 18:21:26.1827790,1875,7
2023-11-16 18:21:26.1828530,2615,22
2023-11-16 18:21:26.2370080,3634,6
2023-11-16 18:21:26.3145760,2547,6
2023-11-16 18:21:26.5070040,1087,11
2023-11-16 18:21:26.6151870,6055,10
2023-11-16 18:21:26.6154270,248,9
2023-11-16 18:21:26.6348150,1165,42
2023-11-16 18:21:26.7372130,2822,56
2023-11-16 18:21:27.0150000,678,16
2023-11-16 18:21:27.1151080,2615,24
2023-11-16 18:21:27.1152860,120,17
2023-11-16 18:21:27.2155670,100,13
2023-11-16 18:21:27.4168800,7436,12
2023-11-16 18:21:27.7589060,965,9
2023-11-16 18:21:27.8158840,2547,11
2023-11-16 18:21:27.8318240,2616,19
2023-11-16 18:21:27.8730360,1549,67
2023-11-16 18:21:28.1154240,6056,8
2023-11-16 18:21:28.2148910,1201,6
2023-11-16 18:21:28.2365280,924,13
2023-11-16 18:21:28.2371090,251,49
2023-11-16 18:21:28.3149350,3297,12
2023-11-16 18:21:28.4163600,2132,43
2023-11-16 18:21:28.5763950,2096,7
2023-11-16 18:21:28.6730990,264,8
2023-11-16 18:21:28.9477140,2133,33
2023-11-16 18:21:29.0779050,1872,19
2023-11-16 18:21:29.2692030,7436,13
2023-11-16 18:21:29.4178430,1163,16
2023-11-16 18:21:29.5197500,56,18
2023-11-16 18:21:29.7543450,599,6
2023-11-16 18:21:29.8382410,264,14
2023-11-16 18:21:29.8522440,908,23
2023-11-16 18:21:29.9241440,1163,10
2023-11-16 18:21:33.1413360,2755,9
2023-11-16 18:21:33.2340860,3014,6
2023-11-16 18:21:33.2350150,337,66
